sku,name,description,price,discount,quantity,weight,seo title,seo description,user friendly url,type,categories,hidden,shipping required,option:Variant,option:Rarity,option:Artist,variant:Artist,variant sku,variant price,variant discount,variant quantity,variant weight,productId
me3-15-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684382
me3-16-holo,Meg - POR - 16 - Salazzle ex - DOUBLE_RARE - Holofoil,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Double Rare<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 016/088</p>,9.5,0.0,0.0,0.0,MEG Perfect Order: Salazzle ex 016/088 - Holofoil,MEG Perfect Order: Salazzle ex 016/088 - Holofoil,meg-por-16-salazzle-ex-double-rare-holofoil,Double Rare,Mega Evolution Era; Fire; Pokémon Cards,,1.0,Holofoil,DOUBLE_RARE,,,,,,,,684376
me3-17-norm,Meg - POR - 17 - Turtonator - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Uncommon<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 017/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Turtonator 017/088 - Normal,MEG Perfect Order: Turtonator 017/088 - Normal,meg-por-17-turtonator-uncommon-normal,Uncommon,Mega Evolution Era; Fire; Pokémon Cards,,1.0,Normal,UNCOMMON,,,,,,,,684407
me3-17-rev,,,,,,,,,,,,,,Reverse Holo,UNCOMMON,Unknown,,,,,,,684407
me3-18-norm,Meg - POR - 18 - Seel - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 018/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Seel 018/088 - Normal,MEG Perfect Order: Seel 018/088 - Normal,meg-por-18-seel-common-normal,Common,Mega Evolution Era; Water; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684372
me3-18-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684372
me3-19-rev,Meg - POR - 19 - Dewgong - RARE - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Rare<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 019/088</p>,5.0,0.0,0.0,0.0,MEG Perfect Order: Dewgong 019/088 - Reverse Holo,MEG Perfect Order: Dewgong 019/088 - Reverse Holo,meg-por-19-dewgong-rare-reverse-holo,Rare (Rev Holo),Mega Evolution Era; Water; Pokémon Cards,,1.0,Reverse Holo,RARE,,,,,,,,684373
me3-19-holo,,,,,,,,,,,,,,Holofoil,RARE,Unknown,,,,,,,684373
me3-20-norm,Meg - POR - 20 - Staryu - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 020/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Staryu 020/088 - Normal,MEG Perfect Order: Staryu 020/088 - Normal,meg-por-20-staryu-common-normal,Common,Mega Evolution Era; Water; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684374
me3-20-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684374
me3-21-holo,Meg - POR - 21 - Mega Starmie ex - DOUBLE_RARE - Holofoil,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Double Rare<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 021/088</p>,15.5,0.0,0.0,0.0,MEG Perfect Order: Mega Starmie ex 021/088 - Holofoil,MEG Perfect Order: Mega Starmie ex 021/088 - Holofoil,meg-por-21-mega-starmie-ex-double-rare-holofoil,Double Rare,Mega Evolution Era; Water; Pokémon Cards,,1.0,Holofoil,DOUBLE_RARE,,,,,,,,684360
me3-22-holo,Meg - POR - 22 - Lapras ex - DOUBLE_RARE - Holofoil,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Double Rare<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 022/088</p>,9.0,0.0,0.0,0.0,MEG Perfect Order: Lapras ex 022/088 - Holofoil,MEG Perfect Order: Lapras ex 022/088 - Holofoil,meg-por-22-lapras-ex-double-rare-holofoil,Double Rare,Mega Evolution Era; Water; Pokémon Cards,,1.0,Holofoil,DOUBLE_RARE,,,,,,,,684329
me3-23-norm,Meg - POR - 23 - Amaura - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 023/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Amaura 023/088 - Normal,MEG Perfect Order: Amaura 023/088 - Normal,meg-por-23-amaura-common-normal,Common,Mega Evolution Era; Water; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684355
me3-23-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684355
me3-24-rev,Meg - POR - 24 - Aurorus - RARE - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Rare<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 024/088</p>,5.5,0.0,0.0,0.0,MEG Perfect Order: Aurorus 024/088 - Reverse Holo,MEG Perfect Order: Aurorus 024/088 - Reverse Holo,meg-por-24-aurorus-rare-reverse-holo,Rare (Rev Holo),Mega Evolution Era; Water; Pokémon Cards,,1.0,Reverse Holo,RARE,,,,,,,,684356
me3-24-holo,,,,,,,,,,,,,,Holofoil,RARE,Unknown,,,,,,,684356
me3-25-norm,Meg - POR - 25 - Volcanion - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Uncommon<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 025/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Volcanion 025/088 - Normal,MEG Perfect Order: Volcanion 025/088 - Normal,meg-por-25-volcanion-uncommon-normal,Uncommon,Mega Evolution Era; Water; Pokémon Cards,,1.0,Normal,UNCOMMON,,,,,,,,684408
me3-25-rev,,,,,,,,,,,,,,Reverse Holo,UNCOMMON,Unknown,,,,,,,684408
me3-26-norm,Meg - POR - 26 - Shinx - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 026/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Shinx 026/088 - Normal,MEG Perfect Order: Shinx 026/088 - Normal,meg-por-26-shinx-common-normal,Common,Mega Evolution Era; Lightning; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684409
me3-26-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684409
me3-27-norm,Meg - POR - 27 - Luxio - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Uncommon<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 027/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Luxio 027/088 - Normal,MEG Perfect Order: Luxio 027/088 - Normal,meg-por-27-luxio-uncommon-normal,Uncommon,Mega Evolution Era; Lightning; Pokémon Cards,,1.0,Normal,UNCOMMON,,,,,,,,684410
me3-27-rev,,,,,,,,,,,,,,Reverse Holo,UNCOMMON,Unknown,,,,,,,684410
me3-28-rev,Meg - POR - 28 - Luxray - RARE - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Rare<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 028/088</p>,5.5,0.0,0.0,0.0,MEG Perfect Order: Luxray 028/088 - Reverse Holo,MEG Perfect Order: Luxray 028/088 - Reverse Holo,meg-por-28-luxray-rare-reverse-holo,Rare (Rev Holo),Mega Evolution Era; Lightning; Pokémon Cards,,1.0,Reverse Holo,RARE,,,,,,,,684411
me3-28-holo,,,,,,,,,,,,,,Holofoil,RARE,Unknown,,,,,,,684411
