db_code,db_name,era,release_date,db_records,tcgcsv_gid,ptcgio_id,ptcgio_name,ptcgio_total,ptcgio_status,enrich_source,notes
BS2,Base Set 2,WotC,,240,605,base4,Base Set 2,130,CONFIRMED,ptcgio,
BSS,Base Set Shadowless,WotC,,188,1663,basep,Wizards Black Star Promos,53,CONFIRMED,ptcgio,
FO,Fossil,WotC,,109,630,base3,Fossil,62,CONFIRMED,ptcgio,
JU,Jungle,WotC,,112,635,base2,Jungle,64,CONFIRMED,ptcgio,
PR-BEST,Best of Game Promos,WotC,,0,1455,,,,NO_MAPPING,tcgcsv,
LC,Legendary Collection,WotCL,2002-05-24,201,1374,base6,Legendary Collection,110,CONFIRMED,ptcgio,
N1,Neo Genesis,WotCN,2000-12-16,203,1396,neo1,Neo Genesis,111,CONFIRMED,ptcgio,
N2,Neo Discovery,WotCN,2001-06-01,132,1434,neo2,Neo Discovery,75,CONFIRMED,ptcgio,
N3,Neo Revelation,WotCN,2001-09-21,116,1389,neo3,Neo Revelation,66,CONFIRMED,ptcgio,
N4,Neo Destiny,WotCN,2002-02-28,202,1444,neo4,Neo Destiny,113,CONFIRMED,ptcgio,
EX,Expedition Base Set,WotCO,2002-09-15,298,1375,ecard1,Expedition Base Set,165,CONFIRMED,ptcgio,
AQ,Aquapolis,WotCO,2003-01-15,329,1397,ecard2,Aquapolis,182,CONFIRMED,ptcgio,
SK,Skyridge,WotCO,2003-05-12,326,1372,ecard3,Skyridge,182,CONFIRMED,ptcgio,
KSS,Kalos Starter Set,XY,2013-11-08,92,1522,xy0,Kalos Starter Set,39,CONFIRMED,ptcgio,
PR-XY,XY Black Star Promos,XY,2014-01-08,0,,,,,NO_MAPPING,none,
XY,XY,XY,2014-02-05,285,1387,xy1,XY,146,CONFIRMED,ptcgio,
FLF,Flashfire,XY,2014-05-07,209,1464,xy2,Flashfire,110,CONFIRMED,ptcgio,
MCD14,McDonalds 2014,XY,2014-07-01,0,,,,,NO_MAPPING,none,
FFI,Furious Fists,XY,2014-08-13,221,1481,xy3,Furious Fists,114,CONFIRMED,ptcgio,
PHF,Phantom Forces,XY,2014-11-05,227,1494,xy4,Phantom Forces,124,CONFIRMED,ptcgio,
PRC,Primal Clash,XY,2015-02-04,292,1509,xy5,Primal Clash,164,CONFIRMED,ptcgio,
DCR,Double Crisis,XY,2015-03-25,60,1525,dc1,Double Crisis,34,CONFIRMED,ptcgio,
ROS,Roaring Skies,XY,2015-05-06,202,1534,xy6,Roaring Skies,112,CONFIRMED,ptcgio,
AOR,Ancient Origins,XY,2015-08-19,180,1576,xy7,Ancient Origins,100,CONFIRMED,ptcgio,
BKT,BREAKthrough,XY,2015-11-04,314,1661,xy8,BREAKthrough,165,CONFIRMED,ptcgio,
BKP,BREAKpoint,XY,2016-02-03,227,1701,xy9,BREAKpoint,126,CONFIRMED,ptcgio,
GEN,Generations,XY,2016-02-22,164,1728,g1,Generations,117,CONFIRMED,ptcgio,
FCO,Fates Collide,XY,2016-05-02,234,1780,xy10,Fates Collide,129,CONFIRMED,ptcgio,
MCD16,McDonalds 2016,XY,2016-07-01,0,,,,,NO_MAPPING,none,
STS,Steam Siege,XY,2016-08-03,218,1815,xy11,Steam Siege,116,CONFIRMED,ptcgio,
EVO,Evolutions,XY,2016-11-02,210,1842,xy12,Evolutions,113,CONFIRMED,ptcgio,
GENRC,Generations: Radiant Collection,XY,,0,1729,g1,Generations,117,CONFIRMED,ptcgio,
